,X,TagID,TagGroup,Weight,FL,RelLoc,year,TrueRoute,Year,System,Rkmtraveled
1,1,2078,Sacramento River 2012,21.74,127,Sac,2012,A,2012,Sac,152.64
2,2,2079,Sacramento River 2012,18.9,120,Sac,2012,A,2012,Sac,152.64
3,3,2081,Sacramento River 2012,23.38,134,Sac,2012,B,2012,Sac,152.64
4,4,2082,Sacramento River 2012,23.56,125,Sac,2012,A,2012,Sac,152.64
5,5,2080,Sacramento River 2012,22.5,129,Sac,2012,A,2012,Sac,152.64
6,6,2083,Sacramento River 2012,27.13,138,Sac,2012,C,2012,Sac,152.64
7,7,2084,Sacramento River 2012,32.18,144,Sac,2012,A,2012,Sac,152.32
8,8,2085,Sacramento River 2012,25,130,Sac,2012,A,2012,Sac,152.64
9,9,2086,Sacramento River 2012,28.86,139,Sac,2012,C,2012,Sac,152.64
10,10,2087,Sacramento River 2012,20.7,121,Sac,2012,B,2012,Sac,152.64
11,11,2088,Sacramento River 2012,22.31,123,Sac,2012,A,2012,Sac,46.3
12,12,2089,Sacramento River 2012,14.05,110,Sac,2012,B,2012,Sac,152.64
13,13,2090,Sacramento River 2012,17.94,114,Sac,2012,A,2012,Sac,4.02
14,14,2091,Sacramento River 2012,10.57,100,Sac,2012,U,2012,Sac,0
15,15,2092,Sacramento River 2012,9.53,95,Sac,2012,B,2012,Sac,116.3433333
16,16,2093,Sacramento River 2012,31.33,144,Sac,2012,B,2012,Sac,116.3433333
17,17,2094,Sacramento River 2012,21.45,129,Sac,2012,A,2012,Sac,119.85
18,18,2095,Sacramento River 2012,25.6,131,Sac,2012,A,2012,Sac,119.85
19,19,2098,Sacramento River 2012,18.96,118,Sac,2012,A,2012,Sac,152.64
20,20,2099,Sacramento River 2012,21.62,122,Sac,2012,U,2012,Sac,0
21,21,2101,Sacramento River 2012,32.8,145,Sac,2012,B,2012,Sac,116.3433333
22,22,2102,Sacramento River 2012,27.02,133,Sac,2012,A,2012,Sac,152.64
23,23,2103,Sacramento River 2012,28.77,137,Sac,2012,B,2012,Sac,152.32
24,24,2114,Sacramento River 2012,17.97,115,Sac,2012,B,2012,Sac,116.3433333
25,25,2115,Sacramento River 2012,26.82,133,Sac,2012,B,2012,Sac,116.3433333
26,26,2116,Sacramento River 2012,21.17,125,Sac,2012,B,2012,Sac,116.3433333
27,27,2118,Sacramento River 2012,27.11,133,Sac,2012,A,2012,Sac,119.85
28,28,2065,Sacramento River 2012,16.4,118,Sac,2012,A,2012,Sac,152.64
29,29,2121,Sacramento River 2012,17.44,115,Sac,2012,A,2012,Sac,119.85
30,30,2119,Sacramento River 2012,27.82,134,Sac,2012,C,2012,Sac,101.34
31,31,2122,Sacramento River 2012,15.38,110,Sac,2012,A,2012,Sac,152.64
32,32,2123,Sacramento River 2012,25.11,133,Sac,2012,A,2012,Sac,152.64
33,33,2124,Sacramento River 2012,13.37,108,Sac,2012,A,2012,Sac,4.02
34,34,2125,Sacramento River 2012,34.75,144,Sac,2012,A,2012,Sac,4.02
35,35,2127,Sacramento River 2012,23.5,125,Sac,2012,A,2012,Sac,119.85
36,36,2128,Sacramento River 2012,28.57,135,Sac,2012,B,2012,Sac,116.3433333
37,37,2129,Sacramento River 2012,29.71,141,Sac,2012,B,2012,Sac,116.3433333
38,38,2051,Yolo Bypass 2012,22.33,127,Yolo,2012,Y,2012,Yolo,90.43
39,39,2052,Yolo Bypass 2012,12.82,108,Yolo,2012,Y,2012,Yolo,45.4
40,40,2053,Yolo Bypass 2012,26.29,136,Yolo,2012,U,2012,Yolo,0
41,41,2055,Yolo Bypass 2012,18.23,113,Yolo,2012,Y,2012,Yolo,90.43
42,42,2057,Yolo Bypass 2012,18.14,119,Yolo,2012,Y,2012,Yolo,90.11
43,43,2058,Yolo Bypass 2012,17.99,117,Yolo,2012,Y,2012,Yolo,90.43
44,44,2059,Yolo Bypass 2012,23.4,128,Yolo,2012,Y,2012,Yolo,90.43
45,45,2060,Yolo Bypass 2012,19.01,118,Yolo,2012,U,2012,Yolo,0
46,46,2061,Yolo Bypass 2012,17.43,116,Yolo,2012,Y,2012,Yolo,23.9
47,47,2062,Yolo Bypass 2012,12,107,Yolo,2012,Y,2012,Yolo,52.9
48,48,2063,Yolo Bypass 2012,30.4,139,Yolo,2012,Y,2012,Yolo,90.43
49,49,2064,Yolo Bypass 2012,19.26,121,Yolo,2012,Y,2012,Yolo,90.43
50,50,2066,Yolo Bypass 2012,29.01,141,Yolo,2012,Y,2012,Yolo,90.43
51,51,2067,Yolo Bypass 2012,32.14,143,Yolo,2012,Y,2012,Yolo,90.43
52,52,2068,Yolo Bypass 2012,25.86,137,Yolo,2012,Y,2012,Yolo,12.9
53,53,2069,Yolo Bypass 2012,29.14,145,Yolo,2012,Y,2012,Yolo,52.9
54,54,2070,Yolo Bypass 2012,24.35,133,Yolo,2012,Y,2012,Yolo,90.11
55,55,2071,Yolo Bypass 2012,18.24,118,Yolo,2012,Y,2012,Yolo,45.4
56,56,2072,Yolo Bypass 2012,20.01,122,Yolo,2012,Y,2012,Yolo,38.29
57,57,2073,Yolo Bypass 2012,25,134,Yolo,2012,Y,2012,Yolo,52.9
58,58,2074,Yolo Bypass 2012,26.24,135,Yolo,2012,Y,2012,Yolo,38.29
59,59,2075,Yolo Bypass 2012,25.1,132,Yolo,2012,Y,2012,Yolo,90.43
60,60,2076,Yolo Bypass 2012,14.2,108,Yolo,2012,Y,2012,Yolo,90.43
61,61,2077,Yolo Bypass 2012,27.09,138,Yolo,2012,Y,2012,Yolo,52.9
62,62,2117,Yolo Bypass 2012,23.33,127,Yolo,2012,Y,2012,Yolo,90.11
63,63,5220,Sacramento River 2013,41.2,156,Sac,2013,A,2013,Sac,102.03
64,64,5221,Sacramento River 2013,32.5,142,Sac,2013,A,2013,Sac,102.03
65,65,4764,Sacramento River 2013,14.5,111,Sac,2013,A,2013,Sac,152.64
66,66,5223,Sacramento River 2013,45.3,161,Sac,2013,A,2013,Sac,26.79
67,67,5782,Sacramento River 2013,24.7,130,Sac,2013,C,2013,Sac,152.64
68,68,5783,Sacramento River 2013,26.8,135,Sac,2013,A,2013,Sac,102.03
69,69,5784,Sacramento River 2013,23.5,131,Sac,2013,B,2013,Sac,152.64
70,70,5785,Sacramento River 2013,18.3,117,Sac,2013,A,2013,Sac,26.79
71,71,5786,Sacramento River 2013,26.5,136,Sac,2013,C,2013,Sac,101.34
72,72,5787,Sacramento River 2013,23,130,Sac,2013,A,2013,Sac,46.3
73,73,5788,Sacramento River 2013,22.7,127,Sac,2013,B,2013,Sac,152.64
74,74,5789,Sacramento River 2013,21.5,126,Sac,2013,C,2013,Sac,101.34
75,75,5790,Sacramento River 2013,23,125,Sac,2013,A,2013,Sac,26.79
76,76,5791,Sacramento River 2013,14,115,Sac,2013,A,2013,Sac,74.06
77,77,5792,Sacramento River 2013,20.3,126,Sac,2013,B,2013,Sac,110.028
78,78,5793,Sacramento River 2013,22.8,130,Sac,2013,C,2013,Sac,101.34
79,79,5794,Sacramento River 2013,16.9,118,Sac,2013,A,2013,Sac,74.06
80,80,5795,Sacramento River 2013,17.2,113,Sac,2013,A,2013,Sac,52.22
81,81,5796,Sacramento River 2013,31.3,145,Sac,2013,A,2013,Sac,102.03
82,82,5797,Sacramento River 2013,19.5,121,Sac,2013,B,2013,Sac,152.64
83,83,5798,Sacramento River 2013,64.2,181,Sac,2013,B,2013,Sac,152.64
84,84,5799,Sacramento River 2013,28.4,135,Sac,2013,B,2013,Sac,110.028
85,85,5800,Sacramento River 2013,23.6,127,Sac,2013,A,2013,Sac,152.64
86,86,5801,Sacramento River 2013,23.5,127,Sac,2013,A,2013,Sac,102.03
87,87,5802,Sacramento River 2013,18.2,120,Sac,2013,C,2013,Sac,101.34
88,88,5803,Sacramento River 2013,26.7,138,Sac,2013,A,2013,Sac,119.27
89,89,5804,Sacramento River 2013,30.3,139,Sac,2013,A,2013,Sac,2.45
90,90,5805,Sacramento River 2013,18.5,120,Sac,2013,U,2013,Sac,0
91,91,5806,Sacramento River 2013,27.4,137,Sac,2013,A,2013,Sac,52.22
92,92,5807,Sacramento River 2013,22.3,123,Sac,2013,A,2013,Sac,102.03
93,93,5808,Sacramento River 2013,24,128,Sac,2013,A,2013,Sac,152.64
94,94,5809,Sacramento River 2013,19.6,121,Sac,2013,B,2013,Sac,152.64
95,95,5810,Sacramento River 2013,16.8,121,Sac,2013,B,2013,Sac,110.028
96,96,5811,Sacramento River 2013,40.9,159,Sac,2013,B,2013,Sac,152.64
97,97,5812,Sacramento River 2013,33.4,147,Sac,2013,B,2013,Sac,110.028
98,98,5813,Sacramento River 2013,16.1,118,Sac,2013,A,2013,Sac,4.93
99,99,5814,Sacramento River 2013,17.6,120,Sac,2013,A,2013,Sac,152.32
100,100,5815,Sacramento River 2013,28.4,137,Sac,2013,A,2013,Sac,152.64
101,101,5816,Sacramento River 2013,20.8,128,Sac,2013,C,2013,Sac,101.34
102,102,5817,Sacramento River 2013,15.5,116,Sac,2013,U,2013,Sac,0
103,103,5818,Sacramento River 2013,15.6,112,Sac,2013,A,2013,Sac,26.79
104,104,5819,Sacramento River 2013,19.6,120,Sac,2013,A,2013,Sac,2.45
105,105,5820,Sacramento River 2013,16.5,118,Sac,2013,A,2013,Sac,102.03
106,106,5821,Sacramento River 2013,18.6,122,Sac,2013,A,2013,Sac,0.15
107,107,5822,Sacramento River 2013,19,123,Sac,2013,A,2013,Sac,2.45
108,108,5823,Sacramento River 2013,21.8,126,Sac,2013,B,2013,Sac,110.028
109,109,5824,Sacramento River 2013,33.3,152,Sac,2013,B,2013,Sac,152.64
110,110,5825,Sacramento River 2013,22.6,131,Sac,2013,C,2013,Sac,101.34
111,111,5826,Sacramento River 2013,18.1,123,Sac,2013,A,2013,Sac,152.64
112,112,5827,Sacramento River 2013,19.6,126,Sac,2013,C,2013,Sac,101.34
113,113,5828,Sacramento River 2013,26.1,137,Sac,2013,A,2013,Sac,152.64
114,114,5829,Sacramento River 2013,31.7,142,Sac,2013,U,2013,Sac,0
115,115,5830,Sacramento River 2013,13.2,110,Sac,2013,B,2013,Sac,110.028
116,116,5831,Sacramento River 2013,22,129,Sac,2013,A,2013,Sac,52.22
117,117,5832,Sacramento River 2013,21.8,128,Sac,2013,C,2013,Sac,101.34
118,118,5833,Sacramento River 2013,13.4,106,Sac,2013,A,2013,Sac,26.79
119,119,5834,Sacramento River 2013,24.7,130,Sac,2013,A,2013,Sac,102.03
120,120,5835,Sacramento River 2013,17.2,120,Sac,2013,A,2013,Sac,26.79
121,121,5836,Sacramento River 2013,39.8,157,Sac,2013,B,2013,Sac,110.028
122,122,5837,Sacramento River 2013,21.7,128,Sac,2013,B,2013,Sac,110.028
123,123,5838,Sacramento River 2013,14,112,Sac,2013,A,2013,Sac,7.346666667
124,124,5839,Sacramento River 2013,32.6,148,Sac,2013,A,2013,Sac,102.03
125,125,5840,Sacramento River 2013,18.5,122,Sac,2013,A,2013,Sac,74.06
126,126,5841,Sacramento River 2013,18.8,121,Sac,2013,A,2013,Sac,74.06
127,127,5842,Sacramento River 2013,22.8,125,Sac,2013,B,2013,Sac,110.028
128,128,5843,Sacramento River 2013,24.3,131,Sac,2013,A,2013,Sac,119.27
129,129,5844,Sacramento River 2013,15.3,111,Sac,2013,A,2013,Sac,13.68
130,130,5845,Sacramento River 2013,37.8,152,Sac,2013,C,2013,Sac,101.34
131,131,5846,Sacramento River 2013,42.5,158,Sac,2013,B,2013,Sac,110.028
132,132,5847,Sacramento River 2013,29,132,Sac,2013,A,2013,Sac,26.79
133,133,5848,Sacramento River 2013,21.6,125,Sac,2013,A,2013,Sac,152.64
134,134,5849,Sacramento River 2013,24,136,Sac,2013,C,2013,Sac,101.34
135,135,5850,Sacramento River 2013,33.9,147,Sac,2013,A,2013,Sac,152.64
136,136,5851,Sacramento River 2013,46.5,166,Sac,2013,U,2013,Sac,0
137,137,5852,Sacramento River 2013,19.9,122,Sac,2013,B,2013,Sac,110.028
138,138,5853,Sacramento River 2013,28.8,139,Sac,2013,A,2013,Sac,152.64
139,139,5854,Sacramento River 2013,17.6,116,Sac,2013,A,2013,Sac,152.64
140,140,5855,Sacramento River 2013,20.1,124,Sac,2013,A,2013,Sac,2.45
141,141,5856,Sacramento River 2013,22.8,130,Sac,2013,B,2013,Sac,110.028
142,142,5857,Sacramento River 2013,31.5,144,Sac,2013,A,2013,Sac,152.64
143,143,5858,Sacramento River 2013,23.4,133,Sac,2013,A,2013,Sac,26.79
144,144,5859,Sacramento River 2013,33.2,148,Sac,2013,C,2013,Sac,101.34
145,145,5860,Sacramento River 2013,14.6,115,Sac,2013,B,2013,Sac,152.64
146,146,5861,Sacramento River 2013,22.8,128,Sac,2013,A,2013,Sac,102.03
147,147,5862,Sacramento River 2013,22.2,125,Sac,2013,B,2013,Sac,152.64
148,148,5863,Sacramento River 2013,33.3,140,Sac,2013,A,2013,Sac,152.64
149,149,5864,Sacramento River 2013,31.3,138,Sac,2013,A,2013,Sac,26.79
150,150,5865,Sacramento River 2013,45.4,160,Sac,2013,A,2013,Sac,152.64
151,151,5866,Sacramento River 2013,15.8,108,Sac,2013,A,2013,Sac,152.64
152,152,5867,Sacramento River 2013,29.6,135,Sac,2013,U,2013,Sac,0
153,153,5868,Sacramento River 2013,40.2,153,Sac,2013,A,2013,Sac,152.64
154,154,5869,Sacramento River 2013,23,123,Sac,2013,B,2013,Sac,152.64
155,155,5870,Sacramento River 2013,28.4,135,Sac,2013,B,2013,Sac,152.64
156,156,5871,Sacramento River 2013,30.5,135,Sac,2013,C,2013,Sac,101.34
157,157,5872,Sacramento River 2013,15.3,118,Sac,2013,A,2013,Sac,102.03
158,158,5873,Sacramento River 2013,31,140,Sac,2013,A,2013,Sac,26.79
159,159,5874,Sacramento River 2013,48.7,158,Sac,2013,C,2013,Sac,101.34
160,160,5875,Sacramento River 2013,24,128,Sac,2013,A,2013,Sac,119.27
161,161,5876,Sacramento River 2013,32.6,142,Sac,2013,C,2013,Sac,101.34
162,162,5877,Sacramento River 2013,26.2,130,Sac,2013,B,2013,Sac,110.028
163,163,4842,Yolo Bypass 2013,16.9,114,Yolo,2013,Y,2013,Yolo,90.43
164,164,4843,Yolo Bypass 2013,14.8,110,Yolo,2013,Y,2013,Yolo,90.43
165,165,4844,Yolo Bypass 2013,18.9,119,Yolo,2013,Y,2013,Yolo,90.43
166,166,4845,Yolo Bypass 2013,13.7,108,Yolo,2013,Y,2013,Yolo,45.4
167,167,4846,Yolo Bypass 2013,20.5,119,Yolo,2013,U,2013,Yolo,0
168,168,4847,Yolo Bypass 2013,23,125,Yolo,2013,Y,2013,Yolo,23.9
169,169,4848,Yolo Bypass 2013,21.6,123,Yolo,2013,Y,2013,Yolo,38.29
170,170,4849,Yolo Bypass 2013,13.78,111,Yolo,2013,Y,2013,Yolo,12.9
171,171,4850,Yolo Bypass 2013,14.7,113,Yolo,2013,Y,2013,Yolo,52.9
172,172,4851,Yolo Bypass 2013,14.6,114,Yolo,2013,Y,2013,Yolo,12.9
173,173,4852,Yolo Bypass 2013,14.5,113,Yolo,2013,U,2013,Yolo,0
174,174,4853,Yolo Bypass 2013,19.1,120,Yolo,2013,U,2013,Yolo,0
175,175,4854,Yolo Bypass 2013,18.3,115,Yolo,2013,Y,2013,Yolo,12.9
176,176,4855,Yolo Bypass 2013,17.8,120,Yolo,2013,Y,2013,Yolo,45.4
177,177,4856,Yolo Bypass 2013,13.8,114,Yolo,2013,U,2013,Yolo,0
178,178,4857,Yolo Bypass 2013,21.5,123,Yolo,2013,Y,2013,Yolo,53.4
179,179,4858,Yolo Bypass 2013,17.6,117,Yolo,2013,Y,2013,Yolo,90.43
180,180,4859,Yolo Bypass 2013,12.6,107,Yolo,2013,Y,2013,Yolo,45.4
181,181,4860,Yolo Bypass 2013,14.1,107,Yolo,2013,U,2013,Yolo,0
182,182,4861,Yolo Bypass 2013,21,125,Yolo,2013,Y,2013,Yolo,90.43
183,183,4862,Yolo Bypass 2013,18.1,119,Yolo,2013,Y,2013,Yolo,53.4
184,184,4863,Yolo Bypass 2013,17.4,116,Yolo,2013,Y,2013,Yolo,12.9
185,185,4864,Yolo Bypass 2013,14.4,112,Yolo,2013,Y,2013,Yolo,12.9
186,186,4865,Yolo Bypass 2013,17.8,121,Yolo,2013,Y,2013,Yolo,23.9
187,187,4866,Yolo Bypass 2013,16.1,115,Yolo,2013,U,2013,Yolo,0
188,188,4764,Sacramento River 2013 Size Comparison Fish,14.5,111,Sac,2013,A,2013,Sac,152.64
189,189,5785,Sacramento River 2013 Size Comparison Fish,18.3,117,Sac,2013,A,2013,Sac,26.79
190,190,5789,Sacramento River 2013 Size Comparison Fish,21.5,126,Sac,2013,C,2013,Sac,101.34
191,191,5790,Sacramento River 2013 Size Comparison Fish,23,125,Sac,2013,A,2013,Sac,26.79
192,192,5791,Sacramento River 2013 Size Comparison Fish,14,115,Sac,2013,A,2013,Sac,74.06
193,193,5792,Sacramento River 2013 Size Comparison Fish,20.3,126,Sac,2013,B,2013,Sac,110.028
194,194,5794,Sacramento River 2013 Size Comparison Fish,16.9,118,Sac,2013,A,2013,Sac,74.06
195,195,5795,Sacramento River 2013 Size Comparison Fish,17.2,113,Sac,2013,A,2013,Sac,52.22
196,196,5797,Sacramento River 2013 Size Comparison Fish,19.5,121,Sac,2013,B,2013,Sac,152.64
197,197,5802,Sacramento River 2013 Size Comparison Fish,18.2,120,Sac,2013,C,2013,Sac,101.34
198,198,5805,Sacramento River 2013 Size Comparison Fish,18.5,120,Sac,2013,A,2013,Sac,0
199,199,5807,Sacramento River 2013 Size Comparison Fish,22.3,123,Sac,2013,A,2013,Sac,102.03
200,200,5809,Sacramento River 2013 Size Comparison Fish,19.6,121,Sac,2013,B,2013,Sac,152.64
201,201,5810,Sacramento River 2013 Size Comparison Fish,16.8,121,Sac,2013,B,2013,Sac,110.028
202,202,5813,Sacramento River 2013 Size Comparison Fish,16.1,118,Sac,2013,A,2013,Sac,4.93
203,203,5814,Sacramento River 2013 Size Comparison Fish,17.6,120,Sac,2013,A,2013,Sac,152.32
204,204,5817,Sacramento River 2013 Size Comparison Fish,15.5,116,Sac,2013,A,2013,Sac,0
205,205,5818,Sacramento River 2013 Size Comparison Fish,15.6,112,Sac,2013,A,2013,Sac,26.79
206,206,5819,Sacramento River 2013 Size Comparison Fish,19.6,120,Sac,2013,A,2013,Sac,2.45
207,207,5820,Sacramento River 2013 Size Comparison Fish,16.5,118,Sac,2013,A,2013,Sac,102.03
208,208,5821,Sacramento River 2013 Size Comparison Fish,18.6,122,Sac,2013,A,2013,Sac,0.15
209,209,5822,Sacramento River 2013 Size Comparison Fish,19,123,Sac,2013,A,2013,Sac,2.45
210,210,5823,Sacramento River 2013 Size Comparison Fish,21.8,126,Sac,2013,B,2013,Sac,110.028
211,211,5826,Sacramento River 2013 Size Comparison Fish,18.1,123,Sac,2013,A,2013,Sac,152.64
212,212,5827,Sacramento River 2013 Size Comparison Fish,19.6,126,Sac,2013,C,2013,Sac,101.34
213,213,5830,Sacramento River 2013 Size Comparison Fish,13.2,110,Sac,2013,B,2013,Sac,110.028
214,214,5833,Sacramento River 2013 Size Comparison Fish,13.4,106,Sac,2013,A,2013,Sac,26.79
215,215,5835,Sacramento River 2013 Size Comparison Fish,17.2,120,Sac,2013,A,2013,Sac,26.79
216,216,5838,Sacramento River 2013 Size Comparison Fish,14,112,Sac,2013,A,2013,Sac,7.346666667
217,217,5840,Sacramento River 2013 Size Comparison Fish,18.5,122,Sac,2013,A,2013,Sac,74.06
218,218,5841,Sacramento River 2013 Size Comparison Fish,18.8,121,Sac,2013,A,2013,Sac,74.06
219,219,5842,Sacramento River 2013 Size Comparison Fish,22.8,125,Sac,2013,B,2013,Sac,110.028
220,220,5844,Sacramento River 2013 Size Comparison Fish,15.3,111,Sac,2013,A,2013,Sac,13.68
221,221,5848,Sacramento River 2013 Size Comparison Fish,21.6,125,Sac,2013,A,2013,Sac,152.64
222,222,5852,Sacramento River 2013 Size Comparison Fish,19.9,122,Sac,2013,B,2013,Sac,110.028
223,223,5854,Sacramento River 2013 Size Comparison Fish,17.6,116,Sac,2013,A,2013,Sac,152.64
224,224,5855,Sacramento River 2013 Size Comparison Fish,20.1,124,Sac,2013,A,2013,Sac,2.45
225,225,5860,Sacramento River 2013 Size Comparison Fish,14.6,115,Sac,2013,B,2013,Sac,152.64
226,226,5862,Sacramento River 2013 Size Comparison Fish,22.2,125,Sac,2013,B,2013,Sac,152.64
227,227,5866,Sacramento River 2013 Size Comparison Fish,15.8,108,Sac,2013,A,2013,Sac,152.64
228,228,5869,Sacramento River 2013 Size Comparison Fish,23,123,Sac,2013,B,2013,Sac,152.64
229,229,5872,Sacramento River 2013 Size Comparison Fish,15.3,118,Sac,2013,A,2013,Sac,102.03